NAME,ชื่อ,ชื่อบนแมป,SOI,RD.,SUB-DISTRIC,DISTRICT,GG MAP,TYPE,Zone,Group,Code
Abstracts Phahonyothin Park,แอ็บสแตร็กส์ พหลโยธิน พาร์ค,"Abstracts Phahonyothin Park, 1076 Phahonyothin Road, Chom Phon, Chatuchak, Bangkok 10900",-,Phahonyothin ,Chom Phon,Chatuchak,goo.gl/maps/Z79mn5DHjRwNt5Tb8,condo,KU,B-H-1,APPK
Bangkok Feliz Vibhavadi 30,แบงค์คอก เฟ'ลิซ วิภาวดี 30,"Bangkok Feliz Vibhavadi 30, 15 Phahon Yothin 21 Alley, Chatuchak, Bangkok 10900",Phahon Yothin 21,-,-,Chatuchak,https://maps.app.goo.gl/YwYMSrVZVJ6Qu2Rd7,,KU,,BFV3
Adamas Phahonyotin,อดามาส พหลโยธิน,"QGHQ+QM9 แขวงพญาไท Phaya Thai, Bangkok 10400",Phahon Yothin 22,Phaya Thai Rd,Phaya Thai,Phaya Thai,https://maps.app.goo.gl/HKNgfwdd1kC2jsC39,,KU,,APIN
Atrium Phahol - Suthisarn,เอเทรี่ยม พหลฯ-สุทธิสาร,"12 ซอย อินทามระ 4 Samsen Nai, Phaya Thai, Bangkok 10400",อินทามระ 4,Samsen Nai,Samsen Nai,Phaya Thai,https://maps.app.goo.gl/DaieaUwC4gp8ANiw9,,KU,,APSN
