name,name_eng,ชื่อบนแมป,BTS,MRT,ARL,KEYWORD,SOI,RD,SUBDISTRIC,DISTRICT,GGMAP,TYPE,Zone,Code
แอ็บสแตร็กส์ พหลโยธิน พาร์ค,Abstracts Phahonyothin Park,"Abstracts Phahonyothin Park, 1076 Phahonyothin Road, Chom Phon, Chatuchak, Bangkok 10900",Ha Yaek Lat Phrao,Phahonyothin,-,Near Central Lat Phrao,-,Phahonyothin ,Chom Phon,Chatuchak,goo.gl/maps/Z79mn5DHjRwNt5Tb8,condo,KU,APPK
แบงค์คอก เฟ'ลิซ วิภาวดี 30,Bangkok Feliz Vibhavadi 30,"Bangkok Feliz Vibhavadi 30, 15 Phahon Yothin 21 Alley, Chatuchak, Bangkok 10900",,,,,Phahon Yothin 21,-,-,Chatuchak,https://maps.app.goo.gl/YwYMSrVZVJ6Qu2Rd7,,KU,BFV3
